               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.017333,            0.016864,                   0,             0.19234,             0.43478,             0.20979,             0.14435,            0.018673,            0.017964,                   0,           0.0097624,           0.0097624,           0.0097624
                  38,            0.018755,            0.017002,                   0,             0.22158,              0.3913,             0.22667,             0.14035,            0.017532,            0.017811,                   0,           0.0097558,           0.0097558,           0.0097558
                  39,            0.019224,            0.017117,                   0,             0.23631,             0.43478,             0.22228,             0.14211,            0.018656,            0.016685,                   0,           0.0097492,           0.0097492,           0.0097492
                  40,            0.018878,            0.016807,                   0,             0.27577,             0.52174,             0.25699,             0.16609,            0.017494,            0.016691,                   0,           0.0097426,           0.0097426,           0.0097426
                  41,            0.017438,            0.015565,                   0,             0.31104,             0.52174,             0.27332,             0.20899,            0.016884,            0.016184,                   0,            0.009736,            0.009736,            0.009736
                  42,            0.017426,            0.016337,                   0,             0.32064,             0.52174,             0.28265,             0.22016,            0.013709,            0.016254,                   0,           0.0097294,           0.0097294,           0.0097294
                  43,            0.016194,            0.016625,                   0,             0.28652,             0.52384,             0.25541,              0.1784,            0.016006,            0.016141,                   0,           0.0097228,           0.0097228,           0.0097228
                  44,            0.015186,            0.017662,                   0,             0.32958,             0.52174,             0.29494,             0.19249,            0.014447,            0.015775,                   0,           0.0097162,           0.0097162,           0.0097162
                  45,            0.014764,            0.015778,                   0,             0.32894,             0.47826,             0.29336,             0.21745,            0.014204,             0.01571,                   0,           0.0097096,           0.0097096,           0.0097096
                  46,             0.01536,            0.014814,                   0,             0.29844,             0.43478,             0.24869,             0.18706,            0.014067,            0.016025,                   0,            0.009703,            0.009703,            0.009703
                  47,            0.015851,            0.015808,                   0,             0.29749,             0.43478,             0.23552,             0.18069,            0.016923,            0.016061,                   0,           0.0096964,           0.0096964,           0.0096964
                  48,             0.01788,            0.015397,                   0,             0.29977,             0.52174,             0.26537,             0.16651,            0.015806,            0.015442,                   0,           0.0096898,           0.0096898,           0.0096898
                  49,            0.014799,             0.01545,                   0,             0.36235,              0.6087,             0.28732,             0.22501,            0.012523,            0.015424,                   0,           0.0096832,           0.0096832,           0.0096832
                  50,            0.014067,            0.014895,                   0,             0.32331,              0.6087,             0.28473,             0.21449,            0.013478,             0.01534,                   0,           0.0096766,           0.0096766,           0.0096766
                  51,            0.014566,            0.014547,                   0,             0.33061,              0.6087,               0.305,             0.23128,            0.015254,            0.014993,                   0,             0.00967,             0.00967,             0.00967
                  52,            0.014488,            0.014058,                   0,             0.32622,             0.52174,             0.30251,             0.23313,            0.013749,            0.015034,                   0,           0.0096634,           0.0096634,           0.0096634
                  53,            0.014148,            0.016293,                   0,             0.36237,             0.65217,             0.29592,             0.21949,            0.013488,              0.0152,                   0,           0.0096568,           0.0096568,           0.0096568
                  54,            0.014448,             0.01484,                   0,             0.30628,              0.6087,             0.29087,             0.20145,            0.014026,            0.015532,                   0,           0.0096502,           0.0096502,           0.0096502
                  55,             0.01584,            0.013204,                   0,             0.29985,              0.6087,             0.29916,             0.20643,            0.014941,            0.015167,                   0,           0.0096436,           0.0096436,           0.0096436
                  56,            0.014498,            0.013576,                   0,             0.37651,              0.6087,               0.309,              0.2455,            0.014661,            0.014485,                   0,            0.009637,            0.009637,            0.009637
                  57,            0.013111,            0.014063,                   0,             0.34116,             0.65217,             0.30033,             0.24866,            0.012543,            0.014671,                   0,           0.0096304,           0.0096304,           0.0096304
                  58,            0.012828,             0.01339,                   0,             0.37339,             0.65217,             0.30745,             0.24846,            0.012427,            0.014786,                   0,           0.0096238,           0.0096238,           0.0096238
                  59,             0.01303,             0.01449,                   0,             0.37229,              0.6087,             0.34164,             0.27637,             0.01278,            0.014746,                   0,           0.0096172,           0.0096172,           0.0096172
                  60,            0.013576,             0.01364,                   0,             0.34338,              0.6087,             0.34459,             0.25472,            0.013581,            0.014503,                   0,           0.0096106,           0.0096106,           0.0096106
                  61,            0.012429,            0.013038,                   0,             0.34247,             0.52174,             0.31686,             0.25363,             0.01304,            0.014846,                   0,            0.009604,            0.009604,            0.009604
                  62,            0.013009,              0.0137,                   0,             0.35891,              0.6087,             0.35841,             0.27377,            0.012564,            0.014395,                   0,           0.0095974,           0.0095974,           0.0095974
                  63,            0.014157,            0.014505,                   0,              0.3503,             0.52174,             0.33989,             0.23805,            0.012207,            0.014181,                   0,           0.0095908,           0.0095908,           0.0095908
                  64,               0.014,            0.013083,                   0,             0.38825,             0.55216,             0.35079,               0.286,            0.012446,            0.014145,                   0,           0.0095842,           0.0095842,           0.0095842
                  65,            0.011751,            0.014155,                   0,             0.36759,             0.52174,             0.33664,             0.28044,            0.011806,             0.01405,                   0,           0.0095776,           0.0095776,           0.0095776
                  66,            0.012907,            0.013145,                   0,             0.38155,             0.56522,             0.33926,             0.27536,            0.012016,            0.014041,                   0,            0.009571,            0.009571,            0.009571
                  67,            0.013079,            0.012979,                   0,             0.40761,             0.59857,             0.35701,             0.29536,            0.012038,            0.013917,                   0,           0.0095644,           0.0095644,           0.0095644
