               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.018599,             0.01579,                   0,             0.16638,             0.43478,             0.20303,             0.11951,            0.021711,            0.016306,                   0,           0.0097624,           0.0097624,           0.0097624
                  38,            0.019981,            0.016068,                   0,             0.31593,             0.60252,              0.3144,             0.22026,             0.01746,             0.01598,                   0,           0.0097558,           0.0097558,           0.0097558
                  39,            0.018808,            0.016479,                   0,             0.27539,             0.56522,             0.26719,             0.16234,            0.024536,            0.015673,                   0,           0.0097492,           0.0097492,           0.0097492
                  40,            0.019573,            0.015946,                   0,             0.19938,             0.26087,             0.12345,            0.076329,            0.038978,            0.017322,                   0,           0.0097426,           0.0097426,           0.0097426
                  41,            0.018808,            0.014688,                   0,             0.25887,             0.56522,              0.2754,             0.19017,            0.022112,            0.015505,                   0,            0.009736,            0.009736,            0.009736
                  42,            0.016847,            0.015566,                   0,             0.27658,             0.52174,             0.26649,             0.17177,            0.020883,            0.015817,                   0,           0.0097294,           0.0097294,           0.0097294
                  43,            0.017851,            0.015429,                   0,             0.23462,             0.52174,             0.24107,             0.16372,            0.024209,             0.01576,                   0,           0.0097228,           0.0097228,           0.0097228
                  44,            0.016979,            0.016602,                   0,             0.33633,             0.50705,             0.31804,             0.23271,            0.020435,            0.014503,                   0,           0.0097162,           0.0097162,           0.0097162
                  45,            0.016657,            0.015058,                   0,             0.38691,             0.47826,             0.32548,             0.25031,            0.015949,            0.014705,                   0,           0.0097096,           0.0097096,           0.0097096
                  46,            0.014713,            0.014011,                   0,             0.34527,             0.65217,             0.29825,             0.22596,            0.015879,            0.014907,                   0,            0.009703,            0.009703,            0.009703
                  47,            0.014181,             0.01524,                   0,             0.32586,             0.65217,             0.28131,             0.21239,            0.017475,            0.014964,                   0,           0.0096964,           0.0096964,           0.0096964
                  48,            0.015325,            0.014832,                   0,             0.31494,             0.65973,             0.32622,             0.22705,            0.019217,            0.014063,                   0,           0.0096898,           0.0096898,           0.0096898
                  49,            0.016208,            0.014547,                   0,             0.32752,             0.65217,             0.30014,             0.23405,            0.019957,            0.014412,                   0,           0.0096832,           0.0096832,           0.0096832
                  50,             0.01718,            0.013933,                   0,             0.32192,             0.65217,             0.34594,             0.25308,            0.016803,            0.013717,                   0,           0.0096766,           0.0096766,           0.0096766
                  51,            0.016634,            0.013811,                   0,             0.35657,             0.52174,             0.33411,             0.22272,            0.018512,            0.013779,                   0,             0.00967,             0.00967,             0.00967
                  52,            0.014946,            0.013433,                   0,             0.33669,             0.66226,              0.3387,             0.24855,            0.017401,            0.013911,                   0,           0.0096634,           0.0096634,           0.0096634
                  53,            0.014318,            0.015381,                   0,             0.36262,             0.69565,             0.31988,              0.2453,            0.015725,            0.014275,                   0,           0.0096568,           0.0096568,           0.0096568
                  54,            0.014282,            0.014182,                   0,             0.28614,             0.71473,             0.29053,             0.21986,            0.016825,            0.014805,                   0,           0.0096502,           0.0096502,           0.0096502
                  55,            0.016549,            0.012436,                   0,             0.28539,             0.72939,             0.29518,             0.23163,            0.022454,            0.014284,                   0,           0.0096436,           0.0096436,           0.0096436
                  56,            0.016347,            0.012703,                   0,             0.34185,             0.69565,             0.34702,             0.28895,             0.01646,            0.013438,                   0,            0.009637,            0.009637,            0.009637
                  57,            0.014199,             0.01365,                   0,             0.36234,             0.65217,             0.34788,             0.27424,            0.015715,            0.013753,                   0,           0.0096304,           0.0096304,           0.0096304
                  58,            0.014154,            0.012963,                   0,             0.37709,             0.65217,             0.34345,             0.26265,            0.015682,            0.013674,                   0,           0.0096238,           0.0096238,           0.0096238
                  59,              0.0141,            0.014004,                   0,             0.36172,              0.6087,             0.34965,             0.27321,            0.015447,             0.01359,                   0,           0.0096172,           0.0096172,           0.0096172
                  60,            0.012812,            0.013309,                   0,             0.36421,             0.67272,             0.33712,             0.27248,            0.014947,            0.013549,                   0,           0.0096106,           0.0096106,           0.0096106
                  61,             0.01206,            0.012435,                   0,             0.37904,             0.73913,             0.34616,              0.2905,            0.013059,            0.013804,                   0,            0.009604,            0.009604,            0.009604
                  62,            0.012411,             0.01318,                   0,             0.36649,             0.69565,             0.38553,             0.32117,            0.013787,            0.013615,                   0,           0.0095974,           0.0095974,           0.0095974
                  63,            0.014571,            0.014066,                   0,             0.36226,             0.73913,             0.39278,             0.32373,            0.014414,            0.013481,                   0,           0.0095908,           0.0095908,           0.0095908
                  64,            0.014666,            0.012417,                   0,             0.36024,             0.69565,             0.38749,             0.30425,            0.015674,            0.013504,                   0,           0.0095842,           0.0095842,           0.0095842
                  65,            0.012786,            0.013632,                   0,             0.38509,             0.65217,             0.38556,             0.32708,            0.012682,            0.013433,                   0,           0.0095776,           0.0095776,           0.0095776
                  66,            0.013168,            0.012556,                   0,             0.38956,             0.65217,             0.38885,             0.30616,            0.013479,            0.013462,                   0,            0.009571,            0.009571,            0.009571
                  67,            0.013432,             0.01248,                   0,             0.35143,             0.65217,             0.40437,             0.33363,            0.013767,            0.013322,                   0,           0.0095644,           0.0095644,           0.0095644
                  68,            0.013654,            0.013235,                   0,             0.37826,             0.65217,             0.41424,             0.35756,            0.012602,              0.0132,                   0,           0.0095578,           0.0095578,           0.0095578
                  69,            0.012187,            0.012314,                   0,              0.3892,             0.69268,             0.39758,             0.32465,            0.012434,            0.013531,                   0,           0.0095512,           0.0095512,           0.0095512
                  70,            0.011928,            0.012911,                   0,             0.33596,              0.6087,             0.38795,             0.31924,            0.012332,            0.013592,                   0,           0.0095446,           0.0095446,           0.0095446
                  71,            0.012332,            0.013832,                   0,             0.39654,             0.56522,             0.39091,             0.33815,            0.011483,            0.013258,                   0,            0.009538,            0.009538,            0.009538
                  72,           0.0098798,            0.011062,                   0,             0.39951,             0.63665,             0.46694,             0.38185,            0.013092,            0.013352,                   0,           0.0095314,           0.0095314,           0.0095314
                  73,            0.011963,            0.012098,                   0,             0.35384,             0.65217,              0.4435,             0.37113,            0.013562,            0.012787,                   0,           0.0095248,           0.0095248,           0.0095248
                  74,            0.012571,            0.012085,                   0,              0.3302,             0.65217,             0.44485,             0.34911,            0.013157,            0.012839,                   0,           0.0095182,           0.0095182,           0.0095182
                  75,            0.013157,            0.011136,                   0,             0.36314,              0.7192,              0.4988,             0.40071,            0.014481,            0.013169,                   0,           0.0095116,           0.0095116,           0.0095116
                  76,            0.012998,            0.012789,                   0,             0.36155,             0.69565,             0.38593,             0.33675,            0.013478,            0.012917,                   0,            0.009505,            0.009505,            0.009505
                  77,            0.011471,            0.012267,                   0,             0.35418,             0.69565,             0.46957,             0.38814,            0.012673,            0.012981,                   0,           0.0094984,           0.0094984,           0.0094984
                  78,            0.011742,            0.012835,                   0,             0.37958,             0.63866,             0.41913,              0.3511,            0.012673,             0.01291,                   0,           0.0094918,           0.0094918,           0.0094918
                  79,            0.012174,            0.011459,                   0,             0.36737,             0.69565,             0.42788,             0.32661,            0.014536,            0.012968,                   0,           0.0094852,           0.0094852,           0.0094852
                  80,            0.013115,             0.01174,                   0,             0.35042,             0.65217,             0.43705,             0.32129,            0.015114,            0.012931,                   0,           0.0094786,           0.0094786,           0.0094786
                  81,            0.013633,             0.01235,                   0,             0.48708,             0.43478,             0.43129,             0.36742,            0.013041,            0.012976,                   0,            0.009472,            0.009472,            0.009472
                  82,            0.011735,            0.012174,                   0,             0.30735,              0.6087,             0.35298,             0.26678,             0.01667,            0.014414,                   0,           0.0094654,           0.0094654,           0.0094654
                  83,            0.013112,            0.012461,                   0,             0.45046,             0.43478,             0.46269,             0.38078,              0.0143,            0.013146,                   0,           0.0094588,           0.0094588,           0.0094588
                  84,            0.014275,            0.011255,                   0,             0.50415,             0.43478,             0.40446,             0.30761,            0.013609,            0.013383,                   0,           0.0094522,           0.0094522,           0.0094522
                  85,            0.011579,            0.011252,                   0,             0.37595,             0.78261,             0.44152,             0.37446,            0.013409,              0.0133,                   0,           0.0094456,           0.0094456,           0.0094456
                  86,            0.012198,             0.01171,                   0,             0.35717,             0.73913,             0.41327,             0.35624,            0.012385,            0.013558,                   0,            0.009439,            0.009439,            0.009439
                  87,            0.014424,            0.012025,                   0,             0.33522,              0.6087,             0.45417,             0.35508,             0.01474,            0.013664,                   0,           0.0094324,           0.0094324,           0.0094324
                  88,            0.013802,            0.011509,                   0,             0.48769,             0.41444,             0.43288,              0.3271,            0.013067,            0.012868,                   0,           0.0094258,           0.0094258,           0.0094258
