               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.017675,            0.018645,                   0,             0.20996,             0.56522,             0.22342,             0.16703,            0.017775,            0.018762,                   0,           0.0097624,           0.0097624,           0.0097624
                  38,            0.018151,            0.018748,                   0,             0.21664,             0.56522,             0.23379,             0.16588,            0.015702,            0.018733,                   0,           0.0097558,           0.0097558,           0.0097558
                  39,            0.017811,            0.019257,                   0,             0.27128,              0.6087,             0.25788,             0.15311,            0.016877,            0.018287,                   0,           0.0097492,           0.0097492,           0.0097492
                  40,            0.017869,            0.018991,                   0,             0.20799,             0.56522,             0.23113,             0.15841,            0.017281,            0.018004,                   0,           0.0097426,           0.0097426,           0.0097426
                  41,            0.017808,            0.017471,                   0,             0.28313,             0.56522,             0.28334,             0.20533,            0.015344,            0.017856,                   0,            0.009736,            0.009736,            0.009736
                  42,            0.016634,            0.018465,                   0,             0.30341,             0.56522,              0.3054,             0.22089,            0.014602,            0.017689,                   0,           0.0097294,           0.0097294,           0.0097294
                  43,            0.015584,            0.018785,                   0,             0.24214,             0.56522,              0.2792,             0.18117,            0.016272,            0.017453,                   0,           0.0097228,           0.0097228,           0.0097228
                  44,            0.015158,            0.019683,                   0,              0.3437,             0.56522,             0.30067,             0.22134,            0.015177,            0.017147,                   0,           0.0097162,           0.0097162,           0.0097162
                  45,            0.015156,            0.017663,                   0,             0.31702,             0.56522,              0.3131,             0.24706,            0.015693,            0.016969,                   0,           0.0097096,           0.0097096,           0.0097096
                  46,            0.016276,            0.016141,                   0,             0.36141,             0.56522,             0.29491,                0.23,            0.016039,            0.016906,                   0,            0.009703,            0.009703,            0.009703
                  47,            0.015674,            0.017548,                   0,             0.33332,             0.54374,             0.29318,             0.20866,            0.014467,            0.016803,                   0,           0.0096964,           0.0096964,           0.0096964
                  48,            0.015518,            0.017266,                   0,             0.35208,             0.52174,             0.27705,             0.19552,            0.016516,            0.016629,                   0,           0.0096898,           0.0096898,           0.0096898
                  49,            0.015082,            0.017044,                   0,             0.35262,             0.56522,             0.29078,             0.22253,            0.014159,            0.016567,                   0,           0.0096832,           0.0096832,           0.0096832
                  50,            0.015382,            0.016374,                   0,             0.37678,             0.56522,             0.29934,             0.21654,            0.014887,            0.016275,                   0,           0.0096766,           0.0096766,           0.0096766
                  51,            0.015706,            0.015964,                   0,             0.40442,              0.6087,             0.34169,             0.25543,            0.015996,            0.015894,                   0,             0.00967,             0.00967,             0.00967
                  52,            0.014088,            0.015694,                   0,             0.38524,              0.6087,             0.32137,               0.242,             0.01453,            0.015905,                   0,           0.0096634,           0.0096634,           0.0096634
                  53,            0.014199,            0.017984,                   0,             0.37273,              0.6087,             0.30025,             0.22763,            0.014526,            0.015864,                   0,           0.0096568,           0.0096568,           0.0096568
                  54,            0.014764,            0.016196,                   0,              0.3674,              0.6087,             0.33096,             0.23833,            0.014637,            0.015733,                   0,           0.0096502,           0.0096502,           0.0096502
                  55,            0.015884,             0.01473,                   0,             0.35115,              0.6087,             0.30287,             0.23474,             0.01486,              0.0157,                   0,           0.0096436,           0.0096436,           0.0096436
                  56,            0.013967,            0.015082,                   0,             0.35398,              0.6087,             0.31368,             0.25892,            0.014019,            0.015596,                   0,            0.009637,            0.009637,            0.009637
                  57,            0.012959,            0.015813,                   0,             0.34514,             0.56522,             0.32122,              0.2599,            0.013323,            0.015548,                   0,           0.0096304,           0.0096304,           0.0096304
                  58,            0.012624,            0.015039,                   0,             0.34072,              0.6087,             0.31977,             0.26506,            0.012602,            0.015535,                   0,           0.0096238,           0.0096238,           0.0096238
                  59,            0.012218,            0.016227,                   0,             0.34462,              0.6087,             0.31236,             0.25527,            0.012922,            0.015464,                   0,           0.0096172,           0.0096172,           0.0096172
                  60,            0.012671,            0.015304,                   0,             0.31197,             0.49312,             0.30898,             0.24876,            0.012603,            0.015456,                   0,           0.0096106,           0.0096106,           0.0096106
                  61,            0.011502,            0.014447,                   0,             0.31316,              0.6087,             0.31064,             0.25299,            0.013206,             0.01542,                   0,            0.009604,            0.009604,            0.009604
                  62,            0.013402,            0.015021,                   0,             0.40448,             0.43478,             0.33604,             0.26394,            0.013803,            0.015204,                   0,           0.0095974,           0.0095974,           0.0095974
                  63,            0.014628,            0.015709,                   0,             0.43641,             0.47157,             0.34451,             0.25685,            0.013818,            0.015313,                   0,           0.0095908,           0.0095908,           0.0095908
